feature,mean_abs_shap
concept:name_transition=Wait->Assigned,2.6107669832475215e-21
resource country=South Africa,1.539822554892173e-21
resource country=INDONESIA,1.4830862153029135e-21
resource country=Netherlands,1.3343327436908696e-21
organization involved=Org line V7,1.2700143814684773e-21
resource country=Spain,8.743957221102561e-22
resource country=MALAYSIA,3.910032196198934e-22
organization involved=Org line V3,0.0
concept:name_transition=Wait - Vendor->Wait - Implementation,0.0
concept:name_transition=Wait - Vendor->Wait - Customer,0.0
concept:name_transition=Wait - Vendor->Wait,0.0
resource country=Austria,0.0
first_activity=Wait,0.0
concept:name_transition=Wait - User->Wait - Customer,0.0
concept:name_transition=Unmatched->In Progress,0.0
concept:name_transition=Wait - Customer->Assigned,0.0
concept:name_transition=Wait - Implementation->Wait,0.0
concept:name_transition=Wait - Customer->Wait - Customer,0.0
concept:name_transition=Wait->Wait - Customer,0.0
organization country=tr,0.0
first_activity=Resolved,0.0
concept:name_transition=Wait->Wait - Vendor,0.0
first_activity=Assigned,0.0
organization involved=Org line I,0.0
concept:name=Unmatched,0.0
resource country=Denmark,0.0
prefix_length_std,0.0
organization involved=Org line E,0.0
elapsed_time_min,0.0
organization involved=Org line G3,0.0
concept:name_transition=Wait - Customer->Wait - Vendor,0.0
time_since_last_min,0.0
concept:name_transition=Closed->Closed,0.0
concept:name_transition=Awaiting Assignment->Resolved,0.0
concept:name_transition=Wait - Customer->Wait - User,0.0
