feature,mean_abs_shap
concept:name_transition=Closed->Closed,2.7893507738066744e-21
last_activity=Unmatched,1.6527539605853738e-21
concept:name_transition=Closed->Awaiting Assignment,1.6046223765061525e-21
concept:name_transition=Wait - Customer->Resolved,1.299785941767672e-21
resource country=Denmark,0.0
resource country=Romania,0.0
resource country=INDONESIA,0.0
first_activity=Wait - Vendor,0.0
resource country=South Africa,0.0
resource country=Turkey,0.0
first_activity=Wait,0.0
resource country=Austria,0.0
relative_age_min,0.0
first_activity=Resolved,0.0
concept:name_transition=Wait - Customer->Wait,0.0
organization country=tr,0.0
concept:name_transition=Wait->Wait - Customer,0.0
concept:name_transition=Wait - Implementation->Wait,0.0
concept:name_transition=Wait - Implementation->Wait - Customer,0.0
concept:name_transition=Wait - Customer->Assigned,0.0
concept:name_transition=Unmatched->In Progress,0.0
concept:name_transition=Resolved->Unmatched,0.0
concept:name_transition=Resolved->Resolved,0.0
concept:name_transition=Wait - User->Wait - Customer,0.0
concept:name_transition=Wait - User->Wait - Implementation,0.0
concept:name_transition=Wait - User->Wait - Vendor,0.0
concept:name_transition=Wait - Vendor->Wait,0.0
concept:name_transition=Wait - Vendor->Wait - Customer,0.0
concept:name_transition=Wait - Vendor->Wait - Implementation,0.0
prefix_length_std,0.0
organization involved=Org line E,0.0
concept:name_transition=Awaiting Assignment->Wait - User,0.0
concept:name_transition=Awaiting Assignment->Wait,0.0
concept:name_transition=Awaiting Assignment->Resolved,0.0
elapsed_time_min,0.0
concept:name_transition=Awaiting Assignment->Assigned,0.0
concept:name_transition=Assigned->Wait - User,0.0
concept:name_transition=Assigned->Awaiting Assignment,0.0
concept:name_transition=Assigned->Assigned,0.0
concept:name_transition=Wait - Customer->Wait - Customer,0.0
time_since_last_min,0.0
event_type=Unmatched,0.0
organization involved=Org line V3,0.0
concept:name_transition=Resolved->Assigned,0.0
